balls,strikes,outs_when_up,inning,at_bat_number,pitch_number,home_score,away_score,bat_score,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitch_type_map,batter_is_right,pitcher_is_right,inning_top,prop_CU,prop_CH,prop_FF,prop_FC,prop_SI
0,1,2,5,47,2,3,5,3,3,2,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,2,5,47,1,3,5,3,3,2,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,2,2,5,46,3,2,5,2,3,2,3,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,1,2,5,46,2,2,5,2,3,2,3,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,2,5,46,1,2,5,2,3,2,1,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,2,5,45,1,2,5,2,3,2,2,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,2,1,5,44,4,2,5,2,3,2,3,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,2,1,5,44,3,2,5,2,3,2,3,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,1,1,5,44,2,2,5,2,3,2,0,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,1,5,44,1,2,5,2,3,2,3,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,1,1,5,43,3,2,5,2,3,2,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,1,1,5,43,2,2,5,2,3,2,2,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,1,5,43,1,2,5,2,3,2,0,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,2,0,5,42,5,2,5,2,2,1,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,1,0,5,42,4,2,5,2,2,1,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,0,0,5,42,3,2,5,2,2,1,2,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,0,0,5,42,2,2,5,2,2,1,2,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,0,5,42,1,2,5,2,2,1,0,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,2,4,34,1,2,2,2,2,1,2,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,2,1,4,33,5,2,2,2,2,1,3,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,2,1,4,33,4,2,2,2,2,1,3,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,1,1,4,33,3,2,2,2,2,1,0,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,1,1,4,33,2,2,2,2,2,1,2,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,1,4,33,1,2,2,2,2,1,0,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,2,0,4,32,5,2,2,2,2,1,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,2,0,4,32,4,2,2,2,2,1,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,1,0,4,32,3,2,2,2,2,1,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,0,0,4,32,2,2,2,2,2,1,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,0,4,32,1,2,2,2,2,1,2,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,2,2,3,26,6,2,2,2,2,1,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,2,2,3,26,5,2,2,2,2,1,0,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
2,1,2,3,26,4,2,2,2,2,1,5,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,1,2,3,26,3,2,2,2,2,1,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,0,2,3,26,2,2,2,2,2,1,3,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
0,0,2,3,26,1,2,2,2,2,1,0,0,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
1,0,2,3,25,2,0,2,0,2,1,0,1,1,0,0.42203742203742206,0.10602910602910603,0.3305613305613306,0.0997920997920998,0.04158004158004158
