game_pk,at_bat_number,pitch_number,pitch_type,pitch_type_map,is_fastball,balls,strikes,outs_when_up,inning,home_score,away_score,bat_score,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,prev_pitch_1,prev_pitch_2,prev_pitch_3,batter_is_right,pitcher_is_right,inning_top
744845,38,4,SL,4,0,1,2,2,5,2,0,2,3,2,4.0,0.0,0.0,0,0,0
744845,38,5,SL,4,0,1,2,2,5,2,0,2,3,2,4.0,4.0,0.0,0,0,0
744845,38,6,FF,0,1,2,2,2,5,2,0,2,3,2,4.0,4.0,4.0,0,0,0
744845,44,1,FF,0,1,0,0,0,6,2,0,2,3,2,0.0,4.0,4.0,1,0,0
744845,44,2,FF,0,1,0,1,0,6,2,0,2,3,2,0.0,0.0,4.0,1,0,0
744845,44,3,SL,4,0,1,1,0,6,2,0,2,3,2,0.0,0.0,0.0,1,0,0
744845,45,1,CH,5,0,0,0,0,6,2,0,2,3,2,4.0,0.0,0.0,1,0,0
744845,45,2,CH,5,0,1,0,0,6,2,0,2,3,2,5.0,4.0,0.0,1,0,0
744845,46,1,SL,4,0,0,0,1,6,2,0,2,3,2,5.0,5.0,4.0,1,0,0
744845,46,2,SL,4,0,0,1,1,6,2,0,2,3,2,4.0,5.0,5.0,1,0,0
744845,46,3,SL,4,0,0,2,1,6,2,0,2,3,2,4.0,4.0,5.0,1,0,0
744845,47,1,SL,4,0,0,0,2,6,2,0,2,3,2,4.0,4.0,4.0,1,0,0
744845,47,2,SL,4,0,1,0,2,6,2,0,2,3,2,4.0,4.0,4.0,1,0,0
744845,51,1,SL,4,0,0,0,0,7,2,0,2,3,2,4.0,4.0,4.0,1,0,0
744845,51,2,SL,4,0,0,1,0,7,2,0,2,3,2,4.0,4.0,4.0,1,0,0
744845,51,3,SL,4,0,1,1,0,7,2,0,2,3,2,4.0,4.0,4.0,1,0,0
744845,51,4,SL,4,0,1,2,0,7,2,0,2,3,2,4.0,4.0,4.0,1,0,0
744845,52,1,SL,4,0,0,0,1,7,2,0,2,3,2,4.0,4.0,4.0,0,0,0
